Episode ,Reward
1,70
2,80
3,50
4,70
5,15
6,85
7,50
8,90
9,70
10,90
11,90
12,75
13,70
14,95
15,50
16,35
17,65
18,65
19,55
20,35
21,70
22,95
23,45
24,85
25,80
26,50
27,65
28,50
29,45
30,70
31,90
32,80
33,70
34,75
35,75
36,80
37,75
38,85
39,45
40,70
41,70
42,90
43,35
44,40
45,50
46,90
47,10
48,55
49,90
50,-5
51,90
52,40
53,60
54,20
55,20
56,80
57,90
58,45
59,60
60,60
61,45
62,90
63,80
64,80
65,75
66,75
67,85
68,95
69,65
70,65
71,75
72,35
73,65
74,80
75,55
76,50
77,35
78,60
79,65
80,65
81,80
82,35
83,60
84,5
85,60
86,85
87,45
88,60
89,85
90,75
91,20
92,60
93,60
94,65
95,65
96,50
97,90
98,25
99,90
100,40
101,45
102,50
103,80
104,55
105,85
106,60
107,90
108,70
109,55
110,85
111,90
112,50
113,70
114,70
115,85
116,45
117,70
118,95
119,80
120,80
121,90
122,50
123,30
124,55
125,70
126,65
127,60
128,55
129,95
130,90
131,85
132,30
133,50
134,25
135,70
136,40
137,90
138,55
139,80
140,85
141,70
142,85
143,35
144,60
145,80
146,75
147,65
148,90
149,70
150,90
151,75
152,90
153,80
154,65
155,60
156,75
157,65
158,80
159,30
160,80
161,45
162,80
163,60
164,70
165,55
166,70
167,80
168,85
169,70
170,85
171,60
172,80
173,65
174,15
175,50
176,40
177,30
178,45
179,75
180,80
181,65
182,70
183,75
184,90
185,70
186,40
187,80
188,35
189,55
190,75
191,65
192,75
193,90
194,65
195,5
196,65
197,70
198,45
199,45
200,65
201,65
202,75
203,75
204,95
205,90
206,60
207,80
208,30
209,75
210,35
211,90
212,90
213,60
214,85
215,50
216,55
217,75
218,80
219,70
220,80
221,0
222,75
223,60
224,60
225,85
226,80
227,70
228,65
229,90
230,55
231,50
232,75
233,15
234,80
235,20
236,20
237,60
238,90
239,55
240,65
241,60
242,80
243,35
244,55
245,80
246,80
247,70
248,25
249,45
250,90
251,75
252,75
253,95
254,35
255,50
256,75
257,65
258,75
259,90
260,55
261,65
262,85
263,25
264,65
265,80
266,60
267,70
268,90
269,85
270,80
271,60
272,65
273,45
274,55
275,50
276,90
277,45
278,65
279,90
280,55
281,90
282,65
283,55
284,40
285,70
286,70
287,75
288,80
289,65
290,45
291,50
292,50
293,75
294,65
295,75
296,80
297,90
298,80
299,50
300,90
301,85
302,50
303,60
304,75
305,80
306,60
307,80
308,90
309,90
310,65
311,80
312,20
313,20
314,65
315,30
316,35
317,70
318,75
319,60
320,75
321,70
322,55
323,55
324,80
325,25
326,50
327,75
328,90
329,75
330,85
331,80
332,5
333,40
334,30
335,90
336,70
337,65
338,35
339,70
340,90
341,25
342,60
343,25
344,75
345,75
346,70
347,65
348,90
349,55
350,25
351,60
352,80
353,75
354,45
355,75
356,75
357,20
358,90
359,55
360,95
361,55
362,60
363,70
364,60
365,60
366,70
367,70
368,75
369,85
370,40
371,85
372,45
373,55
374,90
375,65
376,70
377,90
378,55
379,25
380,75
381,75
382,55
383,50
384,40
385,80
386,65
387,70
388,55
389,90
390,90
391,75
392,90
393,80
394,80
395,50
396,95
397,75
398,80
399,50
400,35
401,65
402,25
403,40
404,75
405,70
406,95
407,90
408,55
409,80
410,70
411,95
412,40
413,55
414,65
415,45
416,90
417,90
418,65
419,65
420,95
421,90
422,75
423,85
424,90
425,95
426,85
427,50
428,55
429,50
430,90
431,60
432,90
433,90
434,60
435,75
436,50
437,70
438,75
439,35
440,80
441,90
442,80
443,65
444,40
445,80
446,50
447,65
448,90
449,65
450,90
451,75
452,60
453,55
454,45
455,50
456,90
457,65
458,90
459,45
460,55
461,35
462,80
463,70
464,20
465,90
466,95
467,50
468,70
469,90
470,70
471,35
472,90
473,75
474,15
475,90
476,70
477,25
478,30
479,55
480,55
481,90
482,70
483,90
484,80
485,55
486,65
487,80
488,90
489,60
490,45
491,90
492,75
493,70
494,70
495,25
496,90
497,85
